"CONGLOME","VIVIENDA","HOGAR","UBIGEO","privacion_cocina","privacion_ilumina","privacion_comuni","privacion_electro","privacion_entreteni","puntaje","P101","P102","P1172.02","P207","P208A","P301A","MIEPERHO","Pobre_energético","ESTRATO","ingreso_pc_mensual","inseguridad_alimentaria","sexo_mujer","educacion_basica_completa","material_pared","estrato3","ingreso_pc_z","gasto_elec_z","distrito","provincia"
18573,3,11,"160101",0,0,0,0,0,0,1,1,106,1,70,11,6,0,2,2874.98394097222,0,0,1,"Duradero","Urbano",1.90865771217105,1.15446513623287,"Iquitos","Maynas "
18573,19,11,"160101",0,0,0,0,0,0,1,1,189,1,75,10,6,0,2,940.170681423611,0,0,1,"Duradero","Urbano",0.0109345130052252,2.63975939982211,"Iquitos","Maynas "
18573,50,11,"160101",0,0,0,0,0,0,1,1,97,2,42,11,4,0,2,1907.53971354167,0,1,1,"Duradero","Urbano",0.959759235672936,0.993409131747293,"Iquitos","Maynas "
18573,64,11,"160101",1,0,0,1,0,0.53,1,8,46,1,65,6,3,1,2,220.730428059896,1,0,1,"Precario","Urbano",-0.694714185898452,0.0807584396623386,"Iquitos","Maynas "
18574,3,11,"160101",0,0,0,0,0,0,1,1,120,1,64,7,5,0,2,1797.30221354167,1,0,1,"Duradero","Urbano",0.851634970896682,1.404996698766,"Iquitos","Maynas "
18574,14,11,"160101",0,0,0,0,0,0,1,1,68,1,71,8,6,0,2,1547.32606336806,0,0,1,"Duradero","Urbano",0.606450823495658,0.474450895071535,"Iquitos","Maynas "
18574,25,12,"160101",0,0,0,0,0,0,1,1,156,2,71,6,1,0,2,4326.97623697917,0,1,1,"Duradero","Urbano",3.33281554835689,2.04922071670832,"Iquitos","Maynas "
18574,25,22,"160101",0,0,0,1,0,0.13,8,9,50,1,79,6,3,0,2,1014.45334201389,1,0,1,"Precario","Urbano",0.0837931868861444,0.152338886100374,"Iquitos","Maynas "
18574,68,11,"160101",1,0,0,0,0,0.4,1,1,0,1,47,11,6,1,2,4595.1875,0,0,1,"Duradero","Urbano",3.59588524441166,-0.742416694375072,"Iquitos","Maynas "
18574,79,11,"160101",0,0,0,0,0,0,1,1,211,1,29,10,3,0,2,1881.34700520833,0,0,1,"Duradero","Urbano",0.93406863736437,3.03345185523131,"Iquitos","Maynas "
18574,101,11,"160101",0,0,0,0,0,0,1,1,130,2,35,10,1,0,2,7476.33463541667,0,1,1,"Duradero","Urbano",6.42180125057235,1.58394781486109,"Iquitos","Maynas "
18583,15,11,"160101",1,1,0,1,1,0.86,1,9,0,2,63,8,1,1,2,997.502360026042,0,1,1,"Precario","Urbano",0.067167152508809,-0.742416694375072,"Iquitos","Maynas "
18588,8,11,"160101",1,0,0,0,0,0.4,1,1,140,2,40,9,6,1,2,874.399522569444,1,1,1,"Duradero","Urbano",-0.0535758232650007,1.76289893095618,"Iquitos","Maynas "
18588,24,11,"160101",0,1,0,1,1,0.46,1,1,0,1,58,5,1,1,2,732.314453125,1,0,0,"Duradero","Urbano",-0.19293714467889,-0.742416694375072,"Iquitos","Maynas "
18590,8,11,"160101",0,0,0,0,0,0,1,1,34,1,64,9,2,0,2,805.270670572917,0,0,1,"Duradero","Urbano",-0.121379486237683,-0.133982899651768,"Iquitos","Maynas "
18590,23,11,"160101",0,0,0,0,0,0,1,1,56,1,57,6,2,0,2,1457.46891276042,1,0,1,"Duradero","Urbano",0.51831622007722,0.259709555757428,"Iquitos","Maynas "
18590,37,11,"160101",1,0,0,1,0,0.53,1,1,45,1,44,7,3,1,2,588.577419704861,0,0,1,"Duradero","Urbano",-0.333918762183573,0.0628633280528297,"Iquitos","Maynas "
18590,51,11,"160101",1,0,0,0,0,0.4,1,1,220,1,35,8,3,1,2,2822.82855902778,0,0,1,"Duradero","Urbano",1.85750214054735,3.19450785971689,"Iquitos","Maynas "
18590,80,11,"160101",0,0,0,0,0,0,1,1,400,2,62,11,1,0,2,11515.3307291667,0,1,1,"Duradero","Urbano",10.3833704359302,6.4156279494285,"Iquitos","Maynas "
18597,22,11,"160101",0,0,0,1,1,0.26,1,1,100,2,41,9,4,1,2,494.915649414062,1,1,1,"Duradero","Urbano",-0.425785051335042,1.04709446657582,"Iquitos","Maynas "
18597,35,12,"160101",0,0,0,0,0,0,1,9,146,2,65,9,5,0,2,1289.23658854167,1,1,1,"Precario","Urbano",0.353308882576343,1.87026960061323,"Iquitos","Maynas "
18597,50,11,"160101",1,0,0,0,0,0.4,1,1,300,1,84,11,4,1,2,2422.39860026042,0,0,1,"Duradero","Urbano",1.46474835997261,4.6261167884776,"Iquitos","Maynas "
18597,66,11,"160101",0,0,0,0,0,0,1,1,158,1,67,10,3,0,2,973.5,1,0,1,"Duradero","Urbano",0.043624913881203,2.08501093992734,"Iquitos","Maynas "
18597,97,11,"160101",0,0,0,1,0,0.13,1,1,10,1,63,4,1,0,2,1549.81168619792,1,0,0,"Duradero","Urbano",0.608888797333869,-0.563465578279982,"Iquitos","Maynas "
18597,129,11,"160101",1,0,0,0,0,0.4,1,1,0,1,66,11,5,1,2,5839.05052083333,0,0,1,"Duradero","Urbano",4.81590361030326,-0.742416694375072,"Iquitos","Maynas "
18597,145,11,"160101",0,0,0,0,0,0,1,1,0,2,69,6,1,0,2,2347.74479166667,0,1,1,"Duradero","Urbano",1.39152565293602,-0.742416694375072,"Iquitos","Maynas "
18598,133,11,"160101",1,0,0,1,1,0.66,1,7,236,1,77,6,7,1,2,694.3076171875,1,0,1,"Precario","Urbano",-0.230215395657132,3.48082964546903,"Iquitos","Maynas "
18599,4,11,"160101",0,0,0,0,0,0,1,1,78,2,45,8,5,0,2,1446.51236979167,1,1,1,"Duradero","Urbano",0.507569712282816,0.653402011166624,"Iquitos","Maynas "
18604,85,11,"160101",0,0,0,0,0,0,1,1,159,2,71,11,4,0,2,2883.24609375,0,1,1,"Duradero","Urbano",1.91676148080301,2.10290605153685,"Iquitos","Maynas "
18604,109,11,"160101",1,0,0,0,0,0.4,1,1,90,1,69,8,3,1,2,1107.00857204861,1,0,1,"Duradero","Urbano",0.174574147981066,0.868143350480731,"Iquitos","Maynas "
18604,133,11,"160101",0,0,0,0,0,0,1,1,44,2,64,10,2,0,2,5547.99934895833,0,1,1,"Duradero","Urbano",4.53043184278992,0.0449682164433208,"Iquitos","Maynas "
18604,157,11,"160101",1,0,0,1,0,0.53,1,9,31,2,62,7,2,1,2,1060.56079101562,1,1,1,"Precario","Urbano",0.129016763473253,-0.187668234480295,"Iquitos","Maynas "
18612,48,11,"160101",1,0,0,1,0,0.53,1,1,0,2,55,12,4,1,2,715.347249348958,1,1,0,"Duradero","Urbano",-0.209579089875338,-0.742416694375072,"Iquitos","Maynas "
18612,70,11,"160101",0,0,0,0,0,0,1,1,127,1,61,11,5,0,2,3058.72161458333,0,0,1,"Duradero","Urbano",2.08887316399915,1.53026248003256,"Iquitos","Maynas "
18612,100,11,"160101",1,0,0,0,0,0.4,1,1,273,1,38,10,7,1,2,1289.46037946429,0,0,1,"Duradero","Urbano",0.353528383462809,4.14294877502086,"Iquitos","Maynas "
18619,26,11,"160101",0,0,0,0,0,0,1,1,126,1,34,10,3,0,2,1655.76529947917,0,0,1,"Duradero","Urbano",0.712811296813835,1.51236736842305,"Iquitos","Maynas "
18619,82,11,"160101",1,0,0,0,0,0.4,1,9,50,2,77,7,7,1,2,781.812593005952,1,1,1,"Precario","Urbano",-0.144387876213802,0.152338886100374,"Iquitos","Maynas "
18619,96,11,"160101",0,0,0,0,0,0,1,1,176,1,60,11,4,0,2,4734.88216145833,0,0,1,"Duradero","Urbano",3.73290198157778,2.4071229488985,"Iquitos","Maynas "
