CONGLOME,VIVIENDA,HOGAR,UBIGEO,P101,P102,P1172.02,P207,P208A,P301A,MIEPERHO,Pobre_energético,ESTRATO,ingreso_pc_mensual,inseguridad_alimentaria,sexo_mujer,educacion_basica_completa,material_pared,estrato3,ingreso_pc_z,gasto_elec_z
18588,24,11,160101,1,1,0,1,58,5,1,1,2,732.314453125,1,0,0,Duradero,Urbano,-0.19293714467889017,-0.7424166943750715
18590,8,11,160101,1,1,34,1,64,9,2,0,2,805.2706705729166,0,0,1,Duradero,Urbano,-0.12137948623768327,-0.13398289965176835
18590,23,11,160101,1,1,56,1,57,6,2,0,2,1457.4689127604167,1,0,1,Duradero,Urbano,0.5183162200772196,0.2597095557574278
18590,37,11,160101,1,1,45,1,44,7,3,1,2,588.5774197048611,0,0,1,Duradero,Urbano,-0.33391876218357286,0.06286332805282972
18590,51,11,160101,1,1,220,1,35,8,3,1,2,2822.828559027778,0,0,1,Duradero,Urbano,1.8575021405473453,3.1945078597168903
18590,80,11,160101,1,1,400,2,62,11,1,0,2,11515.330729166666,0,1,1,Duradero,Urbano,10.383370435930178,6.415627949428496
18597,22,11,160101,1,1,100,2,41,9,4,1,2,494.9156494140625,1,1,1,Duradero,Urbano,-0.4257850513350417,1.0470944665758202
18597,35,12,160101,1,9,146,2,65,9,5,0,2,1289.2365885416666,1,1,1,Precario,Urbano,0.3533088825763432,1.8702696006132304
18597,50,11,160101,1,1,300,1,84,11,4,1,2,2422.3986002604165,0,0,1,Duradero,Urbano,1.4647483599726145,4.626116788477604
18597,66,11,160101,1,1,158,1,67,10,3,0,2,973.5,1,0,1,Duradero,Urbano,0.043624913881202994,2.0850109399273373
18597,97,11,160101,1,1,10,1,63,4,1,0,2,1549.8116861979167,1,0,0,Duradero,Urbano,0.6088887973338694,-0.5634655782799823
18597,129,11,160101,1,1,0,1,66,11,5,1,2,5839.050520833333,0,0,1,Duradero,Urbano,4.8159036103032635,-0.7424166943750715
18597,145,11,160101,1,1,0,2,69,6,1,0,2,2347.7447916666665,0,1,1,Duradero,Urbano,1.3915256529360212,-0.7424166943750715
