CONGLOME,VIVIENDA,HOGAR,UBIGEO,P1131,P1132,P1133,P1135,P1136,P1137,P1139,P1121,P1141,P1142,P101,P102,P1172$02,radio,tv_color,tv_bn,refrigeradora,P207,P208A,P301A,MIEPERHO,INGHOG2D
18597,35,12,160101,0,1,0,0,0,0,0,1,0,1,1,9,146,2,1,2,1,2,65,9,5,77354.1953125
18597,50,11,160101,1,1,0,1,0,1,0,1,0,1,1,1,300,1,1,2,1,1,84,11,4,116275.1328125
18597,66,11,160101,0,1,0,0,0,0,0,1,0,1,1,1,158,2,1,2,1,1,67,10,3,35046
18597,97,11,160101,0,0,0,0,0,0,0,1,0,1,1,1,10,1,1,2,2,1,63,4,1,18597.740234375
18597,129,11,160101,1,1,0,1,0,0,0,1,0,1,1,1,0,2,1,2,1,1,66,11,5,350343.03125
18597,145,11,160101,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,2,1,2,69,6,1,28172.9375
18598,133,11,160101,0,1,0,1,0,0,0,1,0,1,1,7,236,2,2,2,2,1,77,6,7,58321.83984375
18599,4,11,160101,0,1,0,0,0,0,0,1,0,1,1,1,78,2,1,2,1,2,45,8,5,86790.7421875
18604,85,11,160101,0,1,0,0,0,0,0,1,1,1,1,1,159,2,1,2,1,2,71,11,4,138395.8125
18604,109,11,160101,0,1,0,1,0,0,0,1,0,1,1,1,90,1,1,2,1,1,69,8,3,39852.30859375
18604,133,11,160101,1,1,0,0,0,0,0,1,0,1,1,1,44,2,1,2,1,2,64,10,2,133151.984375
18604,157,11,160101,0,1,0,1,0,0,0,1,0,1,1,9,31,2,1,2,2,2,62,7,2,25453.458984375
18612,48,11,160101,0,1,0,1,0,0,0,1,0,1,1,1,0,1,1,2,2,2,55,12,4,34336.66796875
18612,70,11,160101,0,1,0,0,0,0,0,1,0,1,1,1,127,1,1,2,1,1,61,11,5,183523.296875
18612,100,11,160101,0,1,0,1,0,0,0,1,0,1,1,1,273,2,1,2,1,1,38,10,7,108314.671875
18619,26,11,160101,1,1,0,0,0,0,0,1,0,1,1,1,126,2,1,2,1,1,34,10,3,59607.55078125
18619,82,11,160101,0,0,0,1,0,0,0,1,1,1,1,9,50,1,1,2,1,2,77,7,7,65672.2578125
18619,96,11,160101,1,1,0,0,0,0,0,1,0,1,1,1,176,1,1,2,1,1,60,11,4,227274.34375
18621,5,11,160101,0,0,0,1,0,0,0,1,0,1,1,1,43,1,2,2,1,1,53,7,6,34755.12109375
18621,46,11,160101,0,1,0,1,0,0,0,1,0,1,1,1,21,1,1,2,2,2,71,6,3,44764.01953125
18626,10,11,160101,0,0,0,0,0,1,0,1,0,0,1,1,40,1,1,2,1,1,59,9,1,63923.97265625
18626,101,11,160101,0,1,0,0,0,0,0,1,0,1,1,1,234,1,1,2,1,1,51,10,4,142337.5
18628,36,11,160101,1,1,0,0,0,0,0,1,1,1,1,1,44,1,1,2,1,2,59,10,2,65354.109375
18628,70,11,160101,1,1,0,0,0,0,0,1,0,1,1,1,112,1,1,2,1,1,58,11,2,57018.69140625
18628,102,11,160101,1,1,0,0,0,0,0,1,0,1,1,1,158,2,1,2,2,1,37,9,4,57179.6953125
18628,137,11,160101,1,1,0,0,0,0,0,1,0,1,1,1,120,2,1,2,1,1,32,11,3,60135.40625
18628,172,11,160101,0,1,0,0,0,0,0,1,1,1,1,1,147,1,1,2,1,1,62,11,2,142570.421875
18634,29,11,160101,1,1,0,1,0,0,0,1,0,1,1,1,292,1,1,2,1,2,76,10,6,129221.703125
18634,44,11,160101,0,1,0,1,0,0,0,1,1,1,1,1,119,1,1,2,1,1,75,8,6,63289.83203125
18634,91,11,160101,1,0,0,0,0,0,0,1,0,1,1,1,37,1,1,2,1,1,79,10,1,42677.51953125
18636,118,11,160101,1,1,0,0,0,0,0,1,0,1,1,1,160,1,1,2,1,1,32,10,3,103303.234375
18641,8,11,160101,0,1,0,1,0,0,0,1,0,1,1,1,159,2,1,2,1,1,62,6,2,53784.8828125
18641,19,11,160101,1,1,0,0,0,0,0,1,0,1,1,1,21,1,1,2,1,2,62,9,3,143845.546875
18641,42,11,160101,1,1,0,0,0,0,0,1,0,1,1,1,318,1,1,2,1,1,78,9,2,56129.921875
18641,65,11,160101,1,1,0,0,0,0,0,1,0,1,1,9,33,1,1,2,1,2,72,10,4,56509.39453125
18641,110,11,160101,1,1,0,0,0,0,0,1,0,1,1,1,318,2,1,2,1,2,78,9,4,40421.38671875
18642,10,11,160101,0,1,0,0,0,0,0,1,0,1,1,1,66,1,1,2,1,2,54,8,3,32721.748046875
18642,50,11,160101,0,1,0,1,0,0,0,1,0,1,1,1,50,1,1,2,1,1,44,8,7,57611.484375
18642,64,11,160101,0,1,0,1,0,0,0,1,0,1,1,1,97,2,1,2,2,1,54,8,6,142406.84375
18642,132,11,160101,0,1,0,0,0,0,0,1,0,1,1,1,9,1,1,2,2,1,82,8,1,15067.1015625
18649,3,11,160101,0,1,0,0,0,0,0,1,0,1,1,1,67,2,1,2,1,1,68,8,5,52063.03125
18649,28,11,160101,1,1,0,0,0,0,0,1,0,1,1,1,85,2,1,2,1,2,54,11,2,105288.796875
18649,40,11,160101,0,1,0,1,0,0,0,1,0,1,1,1,91,1,1,2,1,1,42,6,5,38590.484375
18649,53,11,160101,0,1,0,1,0,0,0,1,0,1,1,1,68,1,1,2,1,1,36,9,4,53255.48828125
18649,68,12,160101,0,1,0,0,0,0,0,1,0,1,1,1,194,2,2,2,2,2,38,9,5,26517.12890625
18649,81,11,160101,0,1,0,1,0,0,0,1,0,1,1,1,45,2,1,2,2,2,46,8,2,32991.61328125
18649,93,11,160101,1,1,0,1,0,0,0,1,0,1,1,1,195,1,1,2,1,2,37,11,3,80334.1875
18649,117,11,160101,1,1,0,0,0,0,0,1,0,1,1,1,195,1,1,2,1,1,76,10,5,68669.890625
18650,17,11,160101,0,1,0,0,0,0,0,1,0,1,1,1,0,2,1,2,1,2,42,9,3,105454.0078125
18650,38,11,160101,1,1,0,0,0,0,0,1,0,1,1,1,75,1,1,2,1,2,42,8,2,44416.87890625
18650,49,11,160101,0,1,0,0,0,0,0,1,1,1,1,1,250,2,1,2,1,1,63,11,3,84239.109375
18650,74,11,160101,0,1,0,0,0,0,0,1,0,1,1,1,83,2,1,2,1,2,57,7,3,103944.90625
18650,83,11,160101,0,1,0,1,0,0,0,1,1,0,1,1,88,2,1,2,1,2,85,6,3,57983.33203125
18650,106,11,160101,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,2,1,2,70,7,1,15341.9736328125
18650,114,11,160101,1,1,0,0,0,0,0,1,0,1,1,1,179,2,1,2,1,1,63,10,5,83283.59375
18651,7,11,160101,0,1,0,0,0,0,0,1,0,1,1,1,177,1,1,2,1,2,54,9,6,73861.515625
18651,38,11,160101,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,2,2,1,66,9,1,16147.888671875
18651,87,12,160101,0,1,0,1,0,0,0,1,0,1,1,1,0,2,1,2,2,2,31,4,5,17128.28515625
18651,87,22,160101,0,1,0,0,0,0,0,1,0,1,8,9,50,2,1,2,1,1,35,8,3,56038.1796875
18651,130,11,160101,0,1,0,0,0,0,0,1,0,1,1,1,146,1,1,2,1,1,67,10,2,169662.46875
18597,82,11,160101,0,1,0,1,0,0,0,1,0,1,1,1,24,1,2,2,2,2,70,10,2,30062.4609375
18574,57,11,160101,0,1,0,0,0,0,0,1,0,1,1,1,273,2,1,2,1,2,65,10,3,83097.1484375
18581,5,11,160101,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,2,1,2,44,9,2,20200.78125
18583,28,11,160101,0,0,0,0,0,0,0,1,0,1,1,1,48,1,1,2,1,1,35,10,1,95717.609375
18583,69,11,160101,1,1,0,1,0,0,0,1,0,1,1,1,421,1,2,2,1,1,38,8,7,119614.6796875
18583,84,11,160101,0,1,0,1,0,0,0,1,1,1,1,1,146,2,1,2,1,1,62,10,5,89797.34375
18585,13,11,160101,0,0,0,1,0,0,0,1,0,1,1,1,38,2,1,2,2,2,63,6,1,5147.0830078125
18599,128,11,160101,1,1,0,0,0,0,0,1,0,1,1,1,10,2,1,2,1,1,31,9,3,50133.75390625
18612,82,11,160101,1,1,0,0,0,0,0,1,0,1,1,1,146,2,1,2,1,1,41,10,3,25351.388671875
18612,117,11,160101,0,1,0,0,0,1,0,1,0,1,1,8,34,2,2,2,2,1,54,6,9,31368.259765625
18644,75,11,160101,0,1,0,0,1,0,0,1,0,1,1,1,48,2,1,2,1,1,61,10,3,77902
18583,56,11,160101,0,1,0,1,0,0,0,1,0,1,1,1,90,1,1,2,1,1,43,8,6,9614.287109375
18642,24,11,160101,0,1,0,0,0,0,0,1,0,1,1,1,63,2,1,2,1,2,77,9,2,33037.6796875
18642,92,11,160101,0,1,0,1,0,0,0,1,0,1,1,1,117,2,1,2,1,2,67,10,6,231326.28125
18650,6,12,160101,0,1,0,0,0,0,0,1,0,1,1,1,50,1,1,2,2,2,42,9,3,39350.3515625
18650,6,22,160101,0,1,0,1,0,1,0,1,0,0,8,9,0,2,2,2,2,1,61,6,1,19058.21875
18644,97,11,160101,0,1,0,1,0,0,0,1,0,1,1,9,10,1,1,2,2,1,55,6,4,30699.61328125
18644,175,11,160101,0,0,0,1,0,1,0,1,0,1,1,8,28,2,1,2,2,1,65,5,2,3560.34814453125
18621,77,11,160101,0,1,0,1,0,0,0,1,0,1,1,1,51,2,1,2,1,2,52,9,4,38444.515625
18583,42,11,160101,0,1,0,1,0,0,0,1,0,1,1,9,81,2,1,2,1,1,81,5,5,64672.83203125
18634,154,11,160101,0,1,0,0,0,0,0,1,0,1,1,1,173,2,1,2,1,2,37,10,6,181538.46875
18644,20,11,160101,0,1,0,0,1,0,0,1,0,1,1,1,50,2,1,2,2,1,51,6,4,35145
18644,123,11,160101,0,1,0,1,0,0,0,1,0,1,1,1,0,2,1,2,2,1,28,6,5,28432.677734375
18651,23,11,160101,0,1,0,1,0,0,0,1,0,1,1,1,110,2,1,2,1,2,47,11,7,47512.65234375
18588,95,11,160101,0,1,0,1,0,1,0,1,0,1,1,1,37,1,1,2,2,2,62,6,1,19479.0078125
18588,118,11,160101,0,1,0,1,0,0,0,1,0,1,1,1,99,2,1,2,1,2,72,9,5,60870.30859375
18588,132,11,160101,0,1,0,1,0,1,0,1,0,1,1,1,150,1,1,2,1,1,68,9,7,38581.3203125
18573,129,11,160101,0,1,0,0,0,0,0,1,0,1,1,1,29,2,1,2,1,2,73,10,4,24279.162109375
18573,145,11,160101,1,1,0,0,0,0,0,1,0,1,1,1,73,1,1,2,1,2,81,10,2,55104
18613,3,11,160101,0,1,0,1,0,0,0,1,0,1,1,9,0,1,1,2,1,2,34,8,3,60361.359375
18613,20,12,160101,0,0,0,1,0,1,0,1,0,1,1,9,150,2,1,2,1,1,70,7,3,31408.923828125
18613,20,22,160101,0,0,0,1,0,0,0,1,0,1,8,9,56,2,1,2,2,2,32,6,3,12226.845703125
18613,53,11,160101,0,1,0,1,0,0,0,1,0,1,1,1,98,2,1,2,2,1,28,11,2,73313.3671875
18613,69,12,160101,0,1,0,1,1,0,0,1,0,1,1,1,55,2,1,2,1,1,46,8,4,91878.734375
18613,69,22,160101,0,0,0,0,0,0,0,1,0,1,8,9,24,2,2,2,2,2,19,6,1,15468.6611328125
18613,86,11,160101,0,1,0,1,0,0,0,1,0,1,1,1,33,1,1,2,1,1,63,9,3,57618.86328125
18651,101,11,160101,0,1,0,1,0,0,0,1,0,1,1,1,103,1,1,2,1,1,39,6,4,36346.41796875
18651,146,11,160101,0,1,0,0,0,0,0,1,0,1,1,1,0,2,1,2,2,1,67,11,4,26240.44921875
18576,57,11,160101,1,1,0,1,1,0,0,1,0,1,1,1,176,1,1,2,1,2,65,10,3,90219.59375
18576,99,11,160101,0,1,0,1,0,1,0,1,0,1,1,1,37,2,2,2,2,1,70,6,8,38286.84765625
18576,179,11,160101,0,1,0,1,0,0,0,1,0,1,1,1,70,2,1,2,1,1,66,5,6,26440.51953125
18576,200,12,160101,0,1,0,0,1,0,0,1,0,1,1,9,60,1,1,2,1,1,73,5,4,40288.8046875
18576,200,22,160101,0,1,0,1,0,0,0,1,0,1,8,9,20,2,1,2,2,1,42,5,4,18231.07421875
18576,218,11,160101,0,1,0,1,0,0,0,1,0,1,1,1,94,1,1,2,1,2,40,10,3,32706.208984375
18576,15,11,160101,0,1,0,1,0,0,0,1,0,1,1,1,195,2,1,2,1,2,53,10,2,43825.99609375
18576,37,11,160101,1,1,0,0,0,1,0,1,0,1,1,1,102,2,1,2,2,2,55,10,6,78967.203125
18566,98,11,160101,0,1,0,1,0,0,0,1,1,1,1,8,157,1,1,2,2,1,78,8,10,54638.50390625
18604,13,11,160101,0,1,0,0,0,0,0,1,0,1,1,1,146,2,1,2,1,1,38,8,4,98832
18604,37,11,160101,0,1,0,0,0,0,0,1,0,1,1,1,75,1,2,2,1,1,84,6,3,39594.62890625
18636,10,11,160101,1,1,0,0,0,0,0,1,0,1,1,1,51,2,1,2,1,1,33,8,3,22872.486328125
18581,144,11,160101,1,1,0,0,0,0,0,1,0,1,1,2,0,1,1,2,1,1,68,11,5,104574.953125
18766,37,11,160102,0,0,0,0,0,1,0,0,0,1,1,7,0,2,2,2,1,1,35,4,4,16462
18766,38,11,160102,0,0,0,0,1,0,0,1,0,1,1,7,33,1,1,2,1,1,64,6,9,19077.50390625
18766,39,11,160102,0,0,0,0,0,1,0,0,0,1,1,7,0,2,2,2,2,1,41,5,5,23589.83984375
18766,40,11,160102,0,0,0,0,0,1,0,1,0,1,1,7,30,1,1,2,2,1,75,5,2,14440.439453125
18766,132,11,160102,0,0,0,0,1,1,0,1,0,1,1,7,11,1,1,2,2,1,61,5,7,13794.3701171875
18766,133,11,160102,0,0,0,0,1,1,0,1,0,1,5,7,11,2,2,2,2,1,52,9,2,13997.8193359375
18766,135,11,160102,0,0,0,0,1,1,0,1,0,1,1,7,9,2,2,2,2,2,74,1,1,7821.73486328125
18766,136,11,160102,0,0,0,0,1,1,0,1,0,0,1,7,11,2,2,2,2,1,44,5,6,17031.787109375
18670,4,11,160103,0,0,0,1,0,0,0,1,0,1,1,1,20,2,1,2,2,1,50,8,3,16400.052734375
18670,16,11,160103,0,1,0,1,0,0,0,1,0,1,1,7,65,1,1,2,1,1,59,7,7,25099.16015625
18670,29,11,160103,0,1,0,0,1,0,0,1,0,1,1,7,8,2,1,2,2,1,65,5,3,9185.8369140625
18670,41,11,160103,0,1,0,1,0,0,0,1,0,1,1,7,63,1,1,2,1,1,68,8,4,40851.9921875
18670,66,11,160103,0,0,0,1,1,0,0,1,0,1,1,1,32,1,1,2,1,2,88,6,2,43262.9375
18670,88,11,160103,0,1,0,1,1,0,0,1,0,1,1,7,11,1,1,2,1,1,58,6,11,94007.3359375
18702,11,11,160103,0,0,0,1,1,1,0,1,0,1,1,8,36,1,1,2,2,1,61,6,11,92665.8203125
18702,99,11,160103,0,0,0,1,1,0,0,1,0,1,1,7,0,2,1,2,2,1,82,6,2,12535.4228515625
18702,44,11,160103,0,1,0,1,1,0,0,1,0,1,1,7,11,1,1,2,2,1,40,6,6,11253.1669921875
18702,78,11,160103,0,1,0,1,1,0,0,1,0,1,1,7,12,1,1,2,2,2,65,5,3,14941.220703125
20583,1,11,160103,0,1,0,0,0,0,0,0,0,1,1,7,0,2,2,2,2,1,28,6,3,32946.21484375
